(Kind,code,score,name,professor,week,start_time,end_time)
전선 > 스마트시티전공,660022-01,3,도로기하구조설계,김동선,화,11:30:00,13:00:00
전선 > 스마트시티전공,660022-01,3,도로기하구조설계,김동선,수,10:00:00,11:30:00
전선 > 스마트시티전공,660033-01,3,캡스톤디자인(스마트도시계획실습Ⅰ),백인길,금,09:30:00,13:30:00
전선 > 스마트시티전공,660025-01,3,프롭테크컨설팅,백인길,화,11:30:00,14:30:00
전선 > 스마트시티전공,660029-01,3,종합모빌리티정책,배기목,화,10:00:00,11:30:00
전선 > 스마트시티전공,660029-01,3,종합모빌리티정책,배기목,수,10:00:00,11:30:00
전선 > 스마트시티전공,660031-01,3,공공데이터기반사업타당성평가,유상균,화,14:30:00,16:00:00
전선 > 스마트시티전공,660031-01,3,공공데이터기반사업타당성평가,유상균,목,11:30:00,13:00:00
전선 > 토목공학전공,631054-01,3,콘크리트공학및실험,김성수,화,09:30:00,11:30:00
전선 > 토목공학전공,631054-01,3,콘크리트공학및실험,김성수,수,09:30:00,11:30:00
전선 > 토목공학전공,632026-01,3,공업수학II,황태현,금,11:30:00,14:30:00
전선 > 토목공학전공,632097-01,3,수리학및실험Ⅱ,장창환,수,13:30:00,17:30:00
전선 > 토목공학전공,635020-01,3,재료역학Ⅱ,조태준,화,14:30:00,16:00:00
전선 > 토목공학전공,635020-01,3,재료역학Ⅱ,조태준,수,11:30:00,13:00:00
전필 > 토목공학전공,631059-01,3,응용토질역학및연습,김윤희,월,10:30:00,14:30:00
전선 > 토목공학전공,632052-01,3,구조역학II,조태준,화,12:30:00,14:00:00
전선 > 토목공학전공,632052-01,3,구조역학II,조태준,수,13:00:00,14:30:00
전선 > 토목공학전공,632060-01,3,건설시공학,김용직,화,09:30:00,12:30:00
전선 > 토목공학전공,632065-01,3,PS콘크리트구조물설계,이정배,월,14:30:00,15:30:00
전선 > 토목공학전공,632065-01,3,PS콘크리트구조물설계,이정배,목,11:30:00,13:30:00
전선 > 토목공학전공,634009-01,3,상하수도공학,신재환,화,14:30:00,17:30:00
전선 > 토목공학전공,632091-01,3,해안및항만공학,이재경,월,11:30:00,14:30:00
